"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2201716,"December 31, 2021","Mississippi","Gulfport","1200  Lewis Ave",4,3,0,0,6,"N/A","2021",-80.14120415,40.5061379
2201535,"December 31, 2021","Maryland","Capitol Heights","Cindy Ln",0,4,0,0,0,"N/A","2021",-70.293299,41.699075
2201216,"December 31, 2021","California","Los Angeles","10211 S. Avalon Blvd",0,6,0,0,0,"N/A","2021",-118.260916,33.7684301
2200968,"December 30, 2021","Pennsylvania","Philadelphia","5100  Germantown Ave",0,6,0,1,1,"N/A","2021",-75.165684,40.030249
2201052,"December 30, 2021","Missouri","Kirksville","700  E Dodson St",3,1,0,0,2,"N/A","2021",-0.1075826,51.4996003
2198521,"December 27, 2021","Colorado","Denver","56 Broadway",5,2,1,0,0,"N/A","2021",-73.4478738,40.680299
2200720,"December 27, 2021","Alabama","Mobile","3606 Moffett Rd",1,3,0,0,0,"N/A","2021",-94.69225925,31.361742625
2198014,"December 27, 2021","Ohio","Youngstown","2626 Tyrell Ave",1,3,0,0,2,"N/A","2021",-80.6989143355705,41.1208744295302
2197178,"December 26, 2021","Virginia","Clear Brook","I-81 S",0,4,1,0,0,"N/A","2021",11.3927685,47.2654296
2197391,"December 26, 2021","Texas","Garland","730 W Walnut St",3,1,0,0,1,"N/A","2021",-88.3167601284182,41.84349125
2198071,"December 26, 2021","New York","Buffalo","1300  Jefferson Ave",0,4,0,0,0,"N/A","2021",-78.8543466,42.9105181
2197421,"December 26, 2021","Mississippi","Fayette","225 Community Dr",1,6,0,0,1,"N/A","2021",-73.7079218,40.7808046
2197328,"December 26, 2021","Pennsylvania","Philadelphia","800  W Clearfield St",0,4,0,0,0,"N/A","2021",-75.143961,39.998725
2196827,"December 25, 2021","Louisiana","Lafayette","2106 NW Evangeline Trwy",0,4,0,0,0,"N/A","2021",NA,NA
2196434,"December 24, 2021","Georgia","Roswell","401 Huntington Dr",1,3,0,0,1,"N/A","2021",-83.7109514522146,42.2763907728179
2196267,"December 24, 2021","Pennsylvania","Pittsburgh","7300  Schoyer St",0,5,0,1,1,"N/A","2021",4.9538874,51.8419572
2196839,"December 24, 2021","New York","Brooklyn","1031 Nostrand Ave",0,4,0,0,0,"N/A","2021",-73.950798,40.663256
2193049,"December 19, 2021","Illinois","Lovejoy (Brooklyn)","213 Madison St",1,3,0,0,0,"N/A","2021",-73.9892362959478,40.71293635
2191752,"December 17, 2021","Maryland","Baltimore","600  Laurens St",1,3,0,0,1,"N/A","2021",-76.635776,39.304313
2192046,"December 17, 2021","Maryland","Baltimore","1300  W North Ave",1,4,0,0,1,"N/A","2021",-76.6385997589928,39.310511
2191683,"December 17, 2021","Virginia","Portsmouth","4105 Portsmouth Blvd",0,4,0,0,0,"N/A","2021",-76.3543153844734,36.81562735
