"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2492253,"December 31, 2022","Alabama","Mobile","200  Dauphin St",1,7,0,1,1,"N/A","2022",-88.0430812,30.6915797
2491656,"December 31, 2022","Arizona","Phoenix","4201 N 19th Ave",0,9,0,0,0,"N/A","2022",-112.09979949495,33.4964558282828
2491054,"December 30, 2022","Tennessee","Memphis","E Brooks Rd",1,3,0,0,0,"N/A","2022",-84.269273,43.539389
2490925,"December 30, 2022","Texas","Humble","4800  Park Square Ln",2,3,0,0,0,"N/A","2022",-95.255304,29.937838
2489614,"December 28, 2022","New York","Bronx","851 E Tremont Ave",1,3,0,0,2,"N/A","2022",-73.8866301,40.8433357
2490150,"December 28, 2022","Texas","Dallas","9500  Scyene Rd",0,6,0,0,0,"N/A","2022",-96.659529,32.763181
2488952,"December 27, 2022","District of Columbia","Washington","2300  Pennsylvania Ave SE",0,4,0,0,0,"N/A","2022",-76.9718408423405,38.87451365
2489345,"December 27, 2022","Ohio","Columbus","900  Bellows Ave",0,5,0,0,0,"N/A","2022",-83.0232722222222,39.9521276666667
2489124,"December 27, 2022","California","Eureka","4000  Crane St",2,2,0,0,1,"N/A","2022",153.0128029,-27.4322096
2488209,"December 26, 2022","Louisiana","New Orleans","2031 St Maurice Ave",2,4,0,0,1,"N/A","2022",-90.0056729591837,29.9685486122449
2487989,"December 24, 2022","Mississippi","Columbus","90  Luxapalila Dr",1,3,0,1,1,"N/A","2022",-88.3984246041208,33.5064492639484
2487517,"December 23, 2022","Kansas","Wichita","900  S Mission Rd",2,2,0,0,2,"N/A","2022",-95.944155,35.615181
2485011,"December 19, 2022","Florida","Lake City","NW Dixie Ave",0,5,0,0,0,"N/A","2022",-94.8309859,33.900142
2484083,"December 18, 2022","California","Santa Ana","2112 S Main St",1,3,0,0,3,"N/A","2022",NA,33.7192214
2483594,"December 18, 2022","Oklahoma","Oklahoma City","311 S Klein Ave",0,4,0,0,0,"N/A","2022",-101.976925102041,35.862930122449
2483489,"December 17, 2022","Georgia","Atlanta","3000 Continental Colony Pkwy SW",2,3,0,0,1,"N/A","2022",-84.4929114611501,33.68359605
