"Incident ID","Incident Date","State","City Or County","Address","# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested","Operations","Year","long","lat"
2666933,"July 30, 2023","Indiana","Muncie","S Hackley St",1,17,0,0,0,"N/A","2023",-85.377188,40.1922609
2667537,"July 30, 2023","Texas","Port Arthur","711 Procter St",0,5,0,0,0,"N/A","2023",-93.9332020408163,29.8731776836735
2666859,"July 30, 2023","Illinois","Chicago","1500  S Keeler Ave",1,8,0,0,0,"N/A","2023",-87.7301662859877,41.8605031
2667118,"July 30, 2023","Michigan","Lansing","1300  W Holmes Rd",0,5,0,0,0,"N/A","2023",-84.569924877551,42.6976239591837
2667046,"July 29, 2023","California","Los Angeles","2121 E 99th Pl",1,3,0,0,0,"N/A","2023",-118.235078189189,33.947211027027
2666201,"July 28, 2023","Florida","Tampa","E Shadowlawn Ave",1,3,0,0,0,"N/A","2023",-82.4075686,27.9942497
2666500,"July 28, 2023","Florida","Fort Lauderdale","NW 19th St",0,4,0,0,0,"N/A","2023",-97.0312458,32.7612863
2666189,"July 28, 2023","Washington","Seattle","9232 Rainier Ave S",0,5,0,0,0,"N/A","2023",-122.269637609968,47.52041315
2666195,"July 28, 2023","Illinois","Chicago Heights (Ford Heights)","1400  Senator Ln",1,4,0,0,0,"N/A","2023",-87.587187,41.509479
2663533,"July 25, 2023","Pennsylvania","Pittsburgh","Nicholas St",0,5,0,0,0,"N/A","2023",-93.3694538,37.1972963
2662351,"July 24, 2023","Oklahoma","Tulsa","11107 E Brady St",3,1,0,0,1,"N/A","2023",-95.8537913673469,36.1640506326531
2662711,"July 24, 2023","New York","Bronx","255 E Burnside Ave",1,3,0,0,2,"N/A","2023",-73.9023456826274,40.85176825
2661359,"July 23, 2023","Florida","Tampa","7402 N 56th St",0,5,0,0,0,"N/A","2023",-96.6436802561775,40.8873353646015
2661332,"July 23, 2023","Alabama","Birmingham","1700  Third Ave W",0,4,0,0,0,"N/A","2023",-81.8266437,38.0684783
